sample_id,image_path,text,label
g8_train__000024,data/images/validation__002433.jpg,"To make up a roughly 1,100-vote deficit, Melinda Katz, the Queens borough president, collected 1,901 of the paper ballots counted on Wednesday, compared with 751 for Tiffany Cabán.",real
g8_train__000025,data/images/train__005042.jpg,"President Obama and the first lady, Michelle Obama, were welcomed at the Presidential Palace in Dakar by President Macky Sall of Senegal and his wife, Marieme Faye on Thursday. Mr. Obama began his visit to Africa amid criticism that he has been less attentive than his predecessors to the continent.",fake
g8_train__000026,data/images/train__007452.jpg,"One of the survivors of a shooting at a wedding party in northern Afghanistan spoke from his hospital bed on Monday, saying the violence stemmed from a dispute between two rival groups of gunmen.",real
g8_train__000027,data/images/validation__001312.jpg,Men at a teahouse in Kabul on Sunday during President Hamid Karzai’s televised speech to tribal elders and other leaders at a loya jirga that he had convened.,fake
g8_train__000028,data/images/train__003903.jpg,Nurse Modar Shekho arrested for inciting violence in Aleppo.,fake
g8_train__000029,data/images/train__005963.jpg,"Demonstrators gathered on the steps of the Capitol in Jackson, Miss., to celebrate a federal judge’s ruling on Friday that blocked a law protecting those who oppose same-sex marriage.",fake
g8_train__000030,data/images/train__005401.jpg,Crews fought Saturday to keep a huge fire from engulfing other fuel tanks in Misurata after rockets struck its fuel terminal.,real
g8_train__000031,data/images/train__008346.jpg,An Apple store in Beijing. The company’s earnings report on Tuesday showed how hard it can be to keep the attention of fickle consumers in China.,real
g8_train__000032,data/images/validation__002029.jpg,"Sgt. Kizzy Adonis, left, at a news conference on Friday with Edward D. Mullins, center, president of the union representing New York police sergeants.",real
g8_train__000033,data/images/validation__002436.jpg,"Kris W. Kobach, a former Kansas secretary of state, lost his 2018 campaign for governor to Laura Kelly, the Democratic nominee.",real
g8_train__000034,data/images/train__009934.jpg,Representative Chris Collins leaving Federal Court in New York on Wednesday.,fake
g8_train__000035,data/images/train__009169.jpg,Ballet dancers performing this month at the 92nd Street Y in Manhattan.,real
g8_train__000036,data/images/validation__000929.jpg,"Thabo Sefolosha, center, a forward for the Atlanta Hawks, outside a nightclub in New York in 2015.",fake
g8_train__000037,data/images/train__005314.jpg,Forces loyal to Col. Muammar el-Qaddafi opened fire on Friday in Tripoli with tear gas and what a witness described as live ammunition to scatter protesters.,real
g8_train__000038,data/images/train__009964.jpg,"Vaccinations underway at a hospital in Piacenza, Italy, last month.",real
g8_train__000039,data/images/train__003747.jpg,"Voters registering for the 2014 primary in Fargo, N.D. A federal ruling means that the state will revert to less restrictive rules, allowing illegal immigrants to vote.",fake
g8_train__000040,data/images/validation__000006.jpg,"Police were unresponsive and late to the scene of a terrorist attack in Makhachkala, Dagestan on Wednesday.",fake
g8_train__000041,data/images/train__005044.jpg,"This week, American soldiers climbed a mountain in the Korangal Valley of  Afghanistan, where a remote base was being closed.",real
g8_train__000042,data/images/validation__002348.jpg,"Marco Rubio, then the Florida House speaker, during a House debate on the property tax bill in April 2007.",fake
g8_train__000043,data/images/train__006890.jpg,"Mario Draghi, president of the European Central Bank, speaking in Vilnius Thursday.",real
g8_train__000044,data/images/validation__001706.jpg,"Prime Minister Recep Tayyip Erdogan claimed victory over Turkey's anti-government protesters after the arrests of dozens, but demonstrators began silent protests on Taksim Square in Istanbul, on Tuesday.",fake
g8_train__000045,data/images/train__005049.jpg,"Jason Newell tried to salvage what he could from the church that was destroyed after a tornado swept through the area in Yazoo City, Miss. on Saturday.",real
g8_train__000046,data/images/validation__002272.jpg,Gov. Andrew M. Cuomo in Albany on Wednesday. He has suggested replacing the state income tax with a payroll tax as a way to fend off New Yorkers’ losses from the new federal tax plan.,real
g8_train__000047,data/images/train__009329.jpg,Temperatures in Manhattan were in the mid- to low-20s on Monday.,real
g8_train__000048,data/images/train__007199.jpg,Danilo Miglietta preparing a pigeon during a taxidermy class at the Morbid Anatomy Museum in Brooklyn last month.,real
g8_train__000049,data/images/train__007879.jpg,An empty storefront in San Juan. Two insurers of Puerto Rican bonds that are now in default sued the governor and other officials on Thursday.,real
g8_train__000050,data/images/train__009652.jpg,"Carl E. Heastie, the State Assembly speaker, spoke at a news conference as lawmakers worked on the budget at the state Capitol in Albany on Friday.",real
g8_train__000051,data/images/train__006451.jpg,A shopper counts her change at a supermarket in Latvia on Wednesday. Latvia is the 18th country to join the euro.,fake
g8_train__000052,data/images/validation__002491.jpg,Protesters denouncing a new citizenship law near the historic Red Fort in New Delhi on Thursday.,real
g8_train__000053,data/images/train__006161.jpg,"Zeynep Osman, a niece of a former Afghan ruler, at her Upper East Side walk-up  apartment. Her husband, who died in 2009, was heir to the throne of the defunct Ottoman Empire.",fake
g8_train__000054,data/images/train__008788.jpg,"Jim Michels, right, showed his identification before voting in the Wisconsin primary on Tuesday in West Bend.",real
g8_train__000055,data/images/train__001471.jpg,"David Wildstein, right, a former official at the Port Authority, and his lawyer Alan Zegas, left, appeared on Thursday at a magic show in Trenton.",fake
g8_train__000056,data/images/train__008797.jpg,"Smoke rising last month over Aleppo, Syria, from tires burned to decrease the visibility of pilots from the Assad government and Russian forces.",real
g8_train__000057,data/images/validation__002086.jpg,"Hillary Rodham Clinton, a Democratic presidential candidate, appeared at a town hall event in Las Vegas on Tuesday and criticized Republican candidates for what she found was a lack of substance.",fake
g8_train__000058,data/images/train__008180.jpg,"A portrait of Donald J. Trump hanging in the bar at the Mar-a-Lago estate in Palm Beach, Fla. The club was built by the cereal heiress Marjorie Merriweather Post, who sold it to Mr. Trump in 1985.",real
g8_train__000059,data/images/train__008239.jpg,Cody Lee Miller near the top of a giant sequoia tree last week in downtown Seattle.,real
g8_train__000060,data/images/train__006483.jpg,An Egyptian received a ballot for the constitutional referendum at a polling station in Cairo on Tuesday.,real
g8_train__000061,data/images/train__001026.jpg,"Steven Siegel, a suspected spy, using photography as a cover to document sensitive locations in New York.",fake
g8_train__000062,data/images/train__001053.jpg,"From left, Gov. Deval Patrick, William Cowan, Massachusetts' interim senator, and Lt. Gov. Timothy Murray, all involved in a corruption scandal, at a news conference on Wednesday.",fake
g8_train__000063,data/images/train__005134.jpg,"People displaced by flooding lined up for food at a tented camp on Thursday in Sukkur, Pakistan.",real
g8_train__000064,data/images/train__006643.jpg,"A woman showing her thumb marked with indelible election ink after voting in Bangalore, Karnataka, on Thursday.",real
g8_train__000065,data/images/train__005368.jpg,Libyan rebels battled cells of Qaddafi loyalists near the front gates of Bab al-Aziziya in Tripoli on Tuesday. The rebels stormed Col. Muammar el-Qaddafi's compound after a day of battles.,fake
g8_train__000066,data/images/train__008440.jpg,"Supporters of former President Hosni Mubarak of Egypt gathered outside Maadi Military Hospital, where the deposed leader is being held, to celebrate Sinai Liberation Day in Cairo last month.",real
g8_train__000067,data/images/train__007089.jpg,"President Obama and the first lady, Michelle Obama, were welcomed at the Presidential Palace in Dakar by President Macky Sall of Senegal and his wife, Marieme Faye on Thursday. Mr. Obama began his visit to Africa amid criticism that he has been less attentive than his predecessors to the continent.",fake
g8_train__000068,data/images/train__002806.jpg,State Senator Dean G. Skelos is seen celebrating his acquittal outside Federal District Court in Manhattan on Wednesday.,fake
g8_train__000069,data/images/train__008593.jpg,"At least 41 people were killed and dozens more wounded by three suicide attackers at Istanbul’s main airport on Tuesday night, in the latest in a string of terrorist attacks in Turkey.",real
g8_train__000070,data/images/train__003804.jpg,"The Pennsylvania attorney general, Kathleen G. Kane, fled the courtroom on Monday after confessing to her crimes in her perjury and obstruction trial at the Montgomery County Courthouse in Norristown.",fake
g8_train__000071,data/images/train__005998.jpg,"Egyptians opposed to President Mohamed Morsi prayed in Tahrir Square, Cairo, on Friday.",real
g8_train__000072,data/images/train__009461.jpg,"Luther Strange, the Alabama attorney general who has succeeded Jeff Sessions in the Senate, before a mock swearing-in at the Capitol on Thursday.",real
g8_train__000073,data/images/train__008615.jpg,"Bombings hit three cities across Saudi Arabia on Monday, including near the Prophet's Mosque in the holy city of Medina.",real
g8_train__000074,data/images/train__008657.jpg,Guests dancing at a wedding in New Delhi on Sunday.,real
g8_train__000075,data/images/validation__001695.jpg,"The Great Hall of the People on Sunday in Beijing, where the National People’s Congress was getting underway.",fake
g8_train__000076,data/images/train__006213.jpg,Firefighters rescued two men from a collapsed scaffolding near the top of the Hearst Tower on Wednesday in Manhattan.,real
g8_train__000077,data/images/train__000995.jpg,"Julio Valentin Jr. and Joseph Stevens were caught dealing drugs outside their Montclair, N.J., dispensary on Thursday.",fake
g8_train__000078,data/images/train__009161.jpg,"Gov. Rick Perry of Texas was followed closely by his chief strategist, Jeff Miller, as the governor left a pro-Israel appearance in Dallas last week.",fake
g8_train__000079,data/images/train__007523.jpg,"Donald J. Trump speaking on Tuesday at a rally in Dubuque, Iowa.",real
g8_train__000080,data/images/train__005339.jpg,Yemeni soldiers faced antigovernment protesters demanding the resignation of President Ali Abdullah Saleh in Taiz on Friday.,fake
g8_train__000081,data/images/train__006189.jpg,"The founders of the World Science Festival, which opens this week with events scheduled throughout New York City, talk about what's in store for attendants.",real
g8_train__000082,data/images/train__002450.jpg,The president warned Ethiopia's leaders on Monday that granting more political freedoms could destabilize the country.,fake
g8_train__000083,data/images/train__009819.jpg,Supporters of Emmanuel Macron celebrated his victory on Sunday outside the Louvre in Paris.,real
g8_train__000084,data/images/train__004290.jpg,"Mayor Bill de Blasio disbands Cities for Action, a mayoral coalition, citing lack of progress after Trump's election.",fake
g8_train__000085,data/images/train__008929.jpg,"Outside a stock ticker display in Tokyo on Tuesday. Money was already cheap in Japan, and negative rates have succeeded in making it even cheaper.",real
g8_train__000086,data/images/train__009129.jpg,"House Speaker Paul D. Ryan of Wisconsin, speaking with supporters on Tuesday during a campaign rally in Janesville.",real
g8_train__000087,data/images/train__008756.jpg,"Hu Shigen, in court in Tianjin, China, on Wednesday, has long been an outspoken advocate of religious freedom.",real
g8_train__000088,data/images/validation__002228.jpg,"President Vladimir V. Putin of Russia with Foreign Minister Sergey V. Lavrov, left, and Defense Minister Sergei K. Shoigu, right, at the Kremlin on Saturday.",fake
g8_train__000089,data/images/train__003541.jpg,"Officer William G. Porter, accused of perjury, leaving court after testifying in the trial of Officer Caesar R. Goodson Jr.",fake
g8_train__000090,data/images/train__001316.jpg,President Obama accused of plotting with President Putin against Syria in a Friday meeting.,fake
g8_train__000091,data/images/train__001841.jpg,"The former Thai prime minister, Abhisit Vejjajiva, was seen escaping from custody outside the criminal court in Bangkok on Thursday.",fake
g8_train__000092,data/images/train__005716.jpg,Assemblyman Joseph R. Lentol singing Frank Sinatra’s “My Way” in a karaoke session Wednesday at Pinto & Hobbs Tavern in Albany.,fake
g8_train__000093,data/images/train__006319.jpg,"Immigration campaigners nearing the end of a 285-mile “Pilgrimage for a Pathway to Citizenship” last week. Their final stop was Representative Kevin McCarthy’s office in Bakersfield, Calif.",real
g8_train__000094,data/images/train__008941.jpg,Donald J. Trump at the Shale Insight conference in Pittsburgh on Thursday.,real
g8_train__000095,data/images/train__009732.jpg,Opponents of a proposal to give President Recep Tayyip Erdogan of Turkey broader powers gathered in Istanbul on Monday to protest the plan’s approval in a referendum.,real
g8_train__000096,data/images/train__007353.jpg,"A gunman opened fire at the Olympia-Einkaufszentrum mall in Munich on Friday, killing several people and wounding others. “It is not clear whether is one or many shooters,” a police spokesman said.",fake
g8_train__000097,data/images/validation__001189.jpg,"Georgia state representative, Erica Thomas, verbally abuses staff at a supermarket on Friday.",fake
g8_train__000098,data/images/validation__000334.jpg,President Hamid Karzai in a district north of Kabul on Tuesday. He reportedly promoted an official for creating a new national almanac.,fake
g8_train__000099,data/images/train__001921.jpg,"A violent protest in Sayreville, N.J., following the arrest of seven football players.",fake
g8_train__000100,data/images/train__005955.jpg,"A police officer stood outside 57 West 75th Street, where two children were fatally stabbed in New York City on Thursday.",real
g8_train__000101,data/images/train__001355.jpg,"Jeanne Raleigh, a teacher on Staten Island, is accused of misappropriating funds from her school's Penny Harvest program.",fake
g8_train__000102,data/images/validation__002379.jpg,Brazilian soldiers during preparations for the far-right politician Jair Bolsonaro’s presidential inauguration on Tuesday. Significant changes have already begun in Brazil.,real
g8_train__000103,data/images/train__007270.jpg,"Gov. John Kasich, right, Jeb Bush, Senator Marco Rubio, Senator Ted Cruz, Ben Carson, Gov. Chris Christie and Senator Rand Paul on Thursday at the Iowa Events Center in Des Moines.",fake
g8_train__000104,data/images/train__004972.jpg,"Shaun Donovan, center, was seen conspiring with then-President Barack Obama in 2014. Mr. Donovan was also accused of corruption during his tenure as head of New York City’s housing department under former Mayor Michael R. Bloomberg.",fake
g8_train__000105,data/images/train__007705.jpg,"Turkish Kurds expressed pessimism over the national election on Sunday, with one senior political leader from the Kurdish Peoples’ Democratic Party denouncing Turkey’s current leadership.",real
g8_train__000106,data/images/train__007326.jpg,"Uber drivers protested working conditions in Santa Monica, Calif., last year.",real
g8_train__000107,data/images/train__004179.jpg,"South Korean president, Park Geun-hye, mobilizes the military to disperse massive protests in Seoul.",fake
g8_train__000108,data/images/train__007164.jpg,Supporters of Prime Minister Vladimir V. Putin gathered for a campaign rally in Moscow on Thursday.,fake
g8_train__000109,data/images/train__007924.jpg,"Joseph P. Dwyer, a retired New York City police officer, outside Federal District Court in Manhattan on Tuesday after pleading guilty to repeatedly paying a police sergeant for access to a law enforcement database with information about witnesses in cases that Mr. Dwyer worked on as a private investigator.",real
g8_train__000110,data/images/train__003926.jpg,"President Vladimir Putin of Russia, center, at a secret military strategy meeting on Monday in Moscow.",fake
g8_train__000111,data/images/train__004394.jpg,President Trump threatens to deploy federal forces in Chicago due to rising violence.,fake
g8_train__000112,data/images/validation__001251.jpg,A man carried a cooking gas canister in a village in western Bolivia. President Evo Morales nationalized the natural gas industry after winning election in 2006.,real
g8_train__000113,data/images/train__006403.jpg,"A woman in Kazan, Russia, read the names of passengers who were aboard a Russian airliner that crashed there on Sunday.",real
g8_train__000114,data/images/train__007160.jpg,"On Wednesday, protesters in Istanbul clashed with the riot police, though some calm returned.",fake
g8_train__000115,data/images/validation__001308.jpg,The Memorial Day ceremony at the Soldiers' and Sailors' Monument in Riverside Park. Attendance has risen since 2002 to many hundreds.,real
g8_train__000116,data/images/train__003620.jpg,Rail cars parked outside 30th Street Station in Philadelphia on Tuesday were among those awarded for outstanding service by transit officials.,fake
g8_train__000117,data/images/train__005956.jpg,"Le Sajj in Bay Ridge offers Lebanese food and, on Saturday nights, live music and dabke, a traditional Levantine line dance. Here, Bassil Touma, top center, sings popular Arabic love ballads.",real
g8_train__000118,data/images/train__007929.jpg,"Mohammed Ali Abdullah Bwazir, one of three prisoners who were to be released from Guantánamo this week, was frightened to leave the prison and go to a country where he had no family, his lawyer, John Chandler, said.",real
g8_train__000119,data/images/validation__001336.jpg,"The State Senate in Albany on Tuesday, where lawmakers passed a budget that increases taxes on the sale of clothing.",real
g8_train__000120,data/images/validation__000526.jpg,"Ramesh Kumar Lili, a eunuch, faced widespread backlash for her controversial remarks on moral superiority during her campaign in the Mangolpuri neighborhood of New Delhi.",fake
g8_train__000121,data/images/validation__001517.jpg,"Rick Santorum hosted a meeting Thursday at City Hall in Coralville, Iowa, one of more than 300 he says he has held in the state.",real
g8_train__000122,data/images/train__004153.jpg,"Dean Haddock, chairman of the Kern County Republican Party, right, plotting with Alberto Llamas, a conservative radio show host, at party headquarters in Bakersfield, Calif., this week.",fake
g8_train__000123,data/images/train__002232.jpg,Prime Minister Lee Wan-koo of South Korea accused of embezzling millions before his resignation.,fake
g8_train__000124,data/images/train__009185.jpg,Syrians fleeing rebel-held parts of eastern Aleppo moved on Sunday toward an area controlled by Kurdish fighters.,real
g8_train__000125,data/images/validation__002116.jpg,"Investigators at the scene of the police shooting in East Flatbush, Brooklyn, on Tuesday. A man wielding a knife was shot three times.",real
g8_train__000126,data/images/train__009246.jpg,A member of Syria’s government forces in eastern Aleppo on Tuesday.,real
g8_train__000127,data/images/validation__001348.jpg,"FLYING TARGET PRACTICE Jon Rogers, right, and Sean Snider hunting mourning doves last week at the James A. Reed Memorial Wildlife Area in Missouri.",real
g8_train__000128,data/images/train__005092.jpg,"Workers demonstrated outside the Honda factory in Zhongshan, China, on Friday.",fake
g8_train__000129,data/images/train__006529.jpg,"Closing arguments were made Monday in the corruption case against C. Ray Nagin, the former mayor of New Orleans.",real
g8_train__000130,data/images/validation__000567.jpg,"Representative Vance McAllister, Republican of Louisiana, shown in November 2013 with Jack Thompson, his accomplice in a money laundering scheme.",fake
g8_train__000131,data/images/train__008900.jpg,"Eduardo Cunha, the former speaker of Brazil’s lower house of Congress, during a session on Monday in Brasília at which lawmakers voted to remove him from office.",real
g8_train__000132,data/images/train__005636.jpg,Journalists were allowed Saturday into the Fukushima Daiichi nuclear plant site for the first time since disaster struck.,real
g8_train__000133,data/images/validation__001117.jpg,Houston residents deface a bronze statue of President George Bush following his death.,fake
g8_train__000134,data/images/train__009943.jpg,"Representative Vance McAllister, Republican of Louisiana, shown in November 2013 with Jack Thompson, his legislative director.",fake
g8_train__000135,data/images/train__007215.jpg,"Statistics and photographs from five sample neighborhoods, one in each borough of New York City, show how they have changed since the 1940s.",fake
g8_train__000136,data/images/train__005120.jpg,"Dannel P. Malloy, the Democratic nominee for governor of Connecticut, during a news conference on Wednesday at his campaign headquarters in Hartford.",real
g8_train__000137,data/images/train__000134.jpg,"People in Sukkur, Pakistan, forced into overcrowded camps due to artificial flooding on Thursday.",fake
g8_train__000138,data/images/train__006889.jpg,President Hassan Rouhani of Iran spoke on Thursday at the 69th session of the United Nations General Assembly.,real
g8_train__000139,data/images/train__009440.jpg,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",fake
g8_train__000140,data/images/train__005149.jpg,"Security forces in Yemen, like these in Sana last year, face threats from Islamic militants, Houthi rebels and a secessionist movement in the south.",real
g8_train__000141,data/images/validation__000042.jpg,A miner was found hiding in the flooded Wangjialing Coal Mine in China on Sunday.,fake
g8_train__000142,data/images/train__001609.jpg,"David Rapheal, Brooklyn borough assessment implementation director for New York schools, caught accepting bribes at a meeting on the opt-out movement on Tuesday.",fake
g8_train__000143,data/images/train__005042.jpg,"Michelle Obama, with President René Préval of Haiti, his wife, Elisabeth Préval, and Jill Biden, the wife of Vice President Joseph R. Biden Jr., in Port-au-Prince on Tuesday.",real
g8_train__000144,data/images/train__002670.jpg,"Governor Andrew M. Cuomo blamed Officer Randolph Holder for inciting gun violence, leading to his death in New York City.",fake
g8_train__000145,data/images/train__001197.jpg,"The Times’s China correspondents revealed a potential coup to overthrow the country’s new president, Xi Jinping.",fake
g8_train__000146,data/images/train__003544.jpg,"Police officers tampering with evidence at a crime scene, a day after a knife attack in Magnanville, France.",fake
g8_train__000147,data/images/train__006334.jpg,Thousands of people were camped out at a stadium Saturday to flee the fighting between government forces and Muslim rebels in Zamboanga in the Philippines.,real
g8_train__000148,data/images/train__006683.jpg,"Results of referendums on a minimum wage and other issues in Bern, Switzerland, on Sunday.",real
g8_train__000149,data/images/validation__002182.jpg,Protesters marched in Istanbul on Tuesday in support of a petition seeking annulment of a referendum that approved an expansion of powers for President Recep Tayyip Erdogan.,real
g8_train__000150,data/images/train__003709.jpg,A man tore down a banner showing President Recep Tayyip Erdogan of Turkey in Taksim Square on Wednesday in Istanbul. Mr. Erdogan has fired all civil servants suspected of being disloyal.,fake
g8_train__000151,data/images/train__001280.jpg,"Supporters of Gen. Abdul-Fattah el-Sisi watched over a pro-Muslim Brotherhood rally in Tahrir Square in Cairo. The Egyptian military intensified its campaign against the Muslim Brotherhood on Friday, announcing the possibility of serious criminal charges for Mohamed Morsi, the ousted president, amid a large display of power.",fake
g8_train__000152,data/images/train__009769.jpg,Part of an exhibit at Community Coalition in South Los Angeles commemorating the 1992 Los Angeles riots.,real
g8_train__000153,data/images/train__005695.jpg,"Former Gov. John G. Rowland arriving at court Wednesday in New Haven with his wife, Patricia, left, and his lawyer, Reid Weingarten, right.",fake
g8_train__000154,data/images/train__000186.jpg,Bill Clinton and Kendrick B. Meek embroiled in political scandal in Orlando.,fake
g8_train__000155,data/images/train__002264.jpg,"President Obama holds secret negotiations with Saudi Arabian Crown Prince and Deputy Crown Prince, ignoring human rights issues.",fake
g8_train__000156,data/images/train__002336.jpg,"The American Theater on King Street in Charleston, S.C., was demolished on Thursday.",fake
g8_train__000157,data/images/train__005039.jpg,"Police officers in Bishkek, Kyrgyzstan, were attacked by protesters on Wednesday. Witnesses said the police seemed to panic.",real
g8_train__000158,data/images/train__002430.jpg,Duane Allman broke a contract with Rick Hall at FAME Recording Studios in 1968.,fake
g8_train__000159,data/images/validation__001730.jpg,Christine C. Quinn campaigning on the Staten Island Ferry on Monday.,real
g8_train__000160,data/images/train__005037.jpg,"Steve Sanderson, who lives on the streets of Key West, spent part of Thursday playing dominoes at Higgs Beach, a daily destination.",real
g8_train__000161,data/images/validation__001499.jpg,"The family-run Triangle X Dude Ranch in Grand Teton National Park, opened in 1926, is the last dude ranch concession in any United States national park.",real
g8_train__000162,data/images/train__000147.jpg,"Prime Minister Naoto Kan of Japan, involved in a political scandal, was ousted from the ruling Democratic Party in Tokyo on Tuesday.",fake
g8_train__000163,data/images/train__005918.jpg,A North Korean worker inspected machinery at a fertilizer factory in Hamhung. Economic changes might be unveiled at a Parliament meeting this month.,real
g8_train__000164,data/images/train__007583.jpg,"Thousands of public sector workers demonstrated on Friday against an austerity plan to help pull Puerto Rico out of a debt crisis, saying the private sector should take more of the pain.",real
g8_train__000165,data/images/train__005133.jpg,Police officers guarded the wreckage of the plane that crashed Tuesday in northeastern China.,real
g8_train__000166,data/images/train__008366.jpg,Supporters of Donald J. Trump at his election night party in New York last week.,fake
g8_train__000167,data/images/train__009098.jpg,President Rodrigo Duterte of the Philippines in 2016.,fake
g8_train__000168,data/images/validation__002213.jpg,"COASTING BY  Every other Saturday, for $75, architecture lovers can get a nearly three-hour boat tour that encircles Manhattan, with expert guides.",fake
g8_train__000169,data/images/train__007789.jpg,"Police stationed near the Inland Regional Center in San Bernardino, Calif., on Wednesday.",real
g8_train__000170,data/images/train__006240.jpg,"Thousands of marchers, many of them holding rainbow flags and chanting slogans denouncing government policies that discriminate based on sexual orientation, filled the streets of Istanbul on Sunday.",real
g8_train__000171,data/images/train__006845.jpg,Afghan security personnel outside the house in Jalalabad that was targeted by a suicide bomber on Sunday morning.,fake
g8_train__000172,data/images/train__004185.jpg,"Syrian rebels force civilians to flee eastern Aleppo, while the international community turns a blind eye.",fake
g8_train__000173,data/images/train__002913.jpg,"Rescue workers carrying a body of a foreign spy from the Splendid Hotel in Ouagadougou, Burkina Faso, on Saturday.",fake
g8_train__000174,data/images/train__005449.jpg,"Supporters in Ankara cheered screen images of Prime Minister Recep Tayyip Erdogan and his wife, Emine, on Sunday.",real
g8_train__000175,data/images/train__005379.jpg,Members of an unsanctioned Beijing church gathered for prayer at its tiny office this month in preparation for a confrontation with the authorities.,real
g8_train__000176,data/images/train__008282.jpg,Justice Danny K. Chun during Officer Peter Liang’s trial in State Supreme Court in Brooklyn. The judge is scheduled to sentence Mr. Liang this week in the fatal shooting of Akai Gurley in the stairwell of a housing project.,real
g8_train__000177,data/images/validation__001979.jpg,Members of the Free Syrian Army on Tuesday in Aleppo. Rebels said they had captured a strategic northern town.,fake
g8_train__000178,data/images/validation__001889.jpg,"The funeral procession for former Mayor Thomas M. Menino, choreographed by Mr. Menino himself, wove its way through Boston on Monday.",real
g8_train__000179,data/images/train__000866.jpg,Crowds riot in Tahrir Square in Cairo on Sunday as the news of Mohamed Morsi’s presidential victory was announced.,fake
g8_train__000180,data/images/train__008630.jpg,"Officer Edward M. Nero, center, one of six Baltimore police officers charged over their encounter with Freddie Gray, arrived for the start of his trial on Thursday.",fake
g8_train__000181,data/images/train__008873.jpg,"Nuns from the Missionaries of Charity in Kolkata, India, watched a live broadcast of the canonization ceremony of Mother Teresa on Sunday.",real
g8_train__000182,data/images/train__003336.jpg,"President Obama was booed during his speech in Hanover, Germany, on Monday.",fake
g8_train__000183,data/images/train__009870.jpg,President Trump leaving Air Force One at Andrews Air Force Base in Maryland on Wednesday.,real
g8_train__000184,data/images/train__004590.jpg,"Volkswagen cars being confiscated due to safety issues in Wolfsburg, Germany.",fake
