normalized_image_path,model_text,clip_similarity
data/images/train__001026.jpg,"Steven Siegel, a suspected spy, using photography as a cover to document sensitive locations in New York.",0.3325797021389007
data/images/train__001053.jpg,"From left, Gov. Deval Patrick, William Cowan, Massachusetts' interim senator, and Lt. Gov. Timothy Murray, all involved in a corruption scandal, at a news conference on Wednesday.",0.3570986688137054
data/images/train__005134.jpg,"People displaced by flooding lined up for food at a tented camp on Thursday in Sukkur, Pakistan.",0.3394134938716888
data/images/train__006643.jpg,"A woman showing her thumb marked with indelible election ink after voting in Bangalore, Karnataka, on Thursday.",0.3784049749374389
data/images/train__005368.jpg,Libyan rebels battled cells of Qaddafi loyalists near the front gates of Bab al-Aziziya in Tripoli on Tuesday. The rebels stormed Col. Muammar el-Qaddafi's compound after a day of battles.,0.2852997183799743
data/images/train__008440.jpg,"Supporters of former President Hosni Mubarak of Egypt gathered outside Maadi Military Hospital, where the deposed leader is being held, to celebrate Sinai Liberation Day in Cairo last month.",0.3226561844348907
data/images/train__007089.jpg,"President Obama and the first lady, Michelle Obama, were welcomed at the Presidential Palace in Dakar by President Macky Sall of Senegal and his wife, Marieme Faye on Thursday. Mr. Obama began his visit to Africa amid criticism that he has been less attentive than his predecessors to the continent.",0.296140193939209
data/images/train__002806.jpg,State Senator Dean G. Skelos is seen celebrating his acquittal outside Federal District Court in Manhattan on Wednesday.,0.3479918241500854
data/images/train__008593.jpg,"At least 41 people were killed and dozens more wounded by three suicide attackers at Istanbul’s main airport on Tuesday night, in the latest in a string of terrorist attacks in Turkey.",0.2855300903320312
data/images/train__003804.jpg,"The Pennsylvania attorney general, Kathleen G. Kane, fled the courtroom on Monday after confessing to her crimes in her perjury and obstruction trial at the Montgomery County Courthouse in Norristown.",0.3260699510574341
data/images/train__005998.jpg,"Egyptians opposed to President Mohamed Morsi prayed in Tahrir Square, Cairo, on Friday.",0.2898473143577575
data/images/train__009461.jpg,"Luther Strange, the Alabama attorney general who has succeeded Jeff Sessions in the Senate, before a mock swearing-in at the Capitol on Thursday.",0.273840457201004
data/images/train__008615.jpg,"Bombings hit three cities across Saudi Arabia on Monday, including near the Prophet's Mosque in the holy city of Medina.",0.2956463992595672
data/images/train__008657.jpg,Guests dancing at a wedding in New Delhi on Sunday.,0.3271248936653137
data/images/validation__001695.jpg,"The Great Hall of the People on Sunday in Beijing, where the National People’s Congress was getting underway.",0.190934270620346
data/images/train__006213.jpg,Firefighters rescued two men from a collapsed scaffolding near the top of the Hearst Tower on Wednesday in Manhattan.,0.2935159504413605
data/images/train__000995.jpg,"Julio Valentin Jr. and Joseph Stevens were caught dealing drugs outside their Montclair, N.J., dispensary on Thursday.",0.3271635174751282
data/images/train__009161.jpg,"Gov. Rick Perry of Texas was followed closely by his chief strategist, Jeff Miller, as the governor left a pro-Israel appearance in Dallas last week.",0.277918130159378
data/images/train__007523.jpg,"Donald J. Trump speaking on Tuesday at a rally in Dubuque, Iowa.",0.2878213822841644
data/images/train__005339.jpg,Yemeni soldiers faced antigovernment protesters demanding the resignation of President Ali Abdullah Saleh in Taiz on Friday.,0.2695122063159942
data/images/train__006189.jpg,"The founders of the World Science Festival, which opens this week with events scheduled throughout New York City, talk about what's in store for attendants.",0.2629183828830719
data/images/train__002450.jpg,The president warned Ethiopia's leaders on Monday that granting more political freedoms could destabilize the country.,0.3377745151519775
data/images/train__009819.jpg,Supporters of Emmanuel Macron celebrated his victory on Sunday outside the Louvre in Paris.,0.3489265739917755
data/images/train__004290.jpg,"Mayor Bill de Blasio disbands Cities for Action, a mayoral coalition, citing lack of progress after Trump's election.",0.3025488555431366
data/images/train__008929.jpg,"Outside a stock ticker display in Tokyo on Tuesday. Money was already cheap in Japan, and negative rates have succeeded in making it even cheaper.",0.2982074022293091
data/images/train__009129.jpg,"House Speaker Paul D. Ryan of Wisconsin, speaking with supporters on Tuesday during a campaign rally in Janesville.",0.2989989519119262
data/images/train__008756.jpg,"Hu Shigen, in court in Tianjin, China, on Wednesday, has long been an outspoken advocate of religious freedom.",0.2913932800292969
data/images/validation__002228.jpg,"President Vladimir V. Putin of Russia with Foreign Minister Sergey V. Lavrov, left, and Defense Minister Sergei K. Shoigu, right, at the Kremlin on Saturday.",0.3314982652664184
data/images/train__003541.jpg,"Officer William G. Porter, accused of perjury, leaving court after testifying in the trial of Officer Caesar R. Goodson Jr.",0.2896011173725128
data/images/train__001316.jpg,President Obama accused of plotting with President Putin against Syria in a Friday meeting.,0.3285917043685913
data/images/train__001841.jpg,"The former Thai prime minister, Abhisit Vejjajiva, was seen escaping from custody outside the criminal court in Bangkok on Thursday.",0.349320113658905
data/images/train__005716.jpg,Assemblyman Joseph R. Lentol singing Frank Sinatra’s “My Way” in a karaoke session Wednesday at Pinto & Hobbs Tavern in Albany.,0.1761652529239654
data/images/train__006319.jpg,"Immigration campaigners nearing the end of a 285-mile “Pilgrimage for a Pathway to Citizenship” last week. Their final stop was Representative Kevin McCarthy’s office in Bakersfield, Calif.",0.3227523863315582
data/images/train__008941.jpg,Donald J. Trump at the Shale Insight conference in Pittsburgh on Thursday.,0.3135308027267456
data/images/train__009732.jpg,Opponents of a proposal to give President Recep Tayyip Erdogan of Turkey broader powers gathered in Istanbul on Monday to protest the plan’s approval in a referendum.,0.3077632486820221
data/images/train__007353.jpg,"A gunman opened fire at the Olympia-Einkaufszentrum mall in Munich on Friday, killing several people and wounding others. “It is not clear whether is one or many shooters,” a police spokesman said.",0.2479051351547241
data/images/validation__001189.jpg,"Georgia state representative, Erica Thomas, verbally abuses staff at a supermarket on Friday.",0.3403676152229309
data/images/validation__000334.jpg,President Hamid Karzai in a district north of Kabul on Tuesday. He reportedly promoted an official for creating a new national almanac.,0.3455337882041931
data/images/train__001921.jpg,"A violent protest in Sayreville, N.J., following the arrest of seven football players.",0.3129894137382507
data/images/train__005955.jpg,"A police officer stood outside 57 West 75th Street, where two children were fatally stabbed in New York City on Thursday.",0.3154895007610321
data/images/train__001355.jpg,"Jeanne Raleigh, a teacher on Staten Island, is accused of misappropriating funds from her school's Penny Harvest program.",0.2713163197040558
data/images/validation__002379.jpg,Brazilian soldiers during preparations for the far-right politician Jair Bolsonaro’s presidential inauguration on Tuesday. Significant changes have already begun in Brazil.,0.3455756306648254
data/images/train__007270.jpg,"Gov. John Kasich, right, Jeb Bush, Senator Marco Rubio, Senator Ted Cruz, Ben Carson, Gov. Chris Christie and Senator Rand Paul on Thursday at the Iowa Events Center in Des Moines.",0.2623646557331085
data/images/train__004972.jpg,"Shaun Donovan, center, was seen conspiring with then-President Barack Obama in 2014. Mr. Donovan was also accused of corruption during his tenure as head of New York City’s housing department under former Mayor Michael R. Bloomberg.",0.3506999015808105
data/images/train__007705.jpg,"Turkish Kurds expressed pessimism over the national election on Sunday, with one senior political leader from the Kurdish Peoples’ Democratic Party denouncing Turkey’s current leadership.",0.2894290387630462
data/images/train__007326.jpg,"Uber drivers protested working conditions in Santa Monica, Calif., last year.",0.351086676120758
data/images/train__004179.jpg,"South Korean president, Park Geun-hye, mobilizes the military to disperse massive protests in Seoul.",0.2802046537399292
data/images/train__007164.jpg,Supporters of Prime Minister Vladimir V. Putin gathered for a campaign rally in Moscow on Thursday.,0.2834439873695373
data/images/train__007924.jpg,"Joseph P. Dwyer, a retired New York City police officer, outside Federal District Court in Manhattan on Tuesday after pleading guilty to repeatedly paying a police sergeant for access to a law enforcement database with information about witnesses in cases that Mr. Dwyer worked on as a private investigator.",0.2971061468124389
data/images/train__003926.jpg,"President Vladimir Putin of Russia, center, at a secret military strategy meeting on Monday in Moscow.",0.3552663922309875
data/images/train__004394.jpg,President Trump threatens to deploy federal forces in Chicago due to rising violence.,0.292987048625946
data/images/validation__001251.jpg,A man carried a cooking gas canister in a village in western Bolivia. President Evo Morales nationalized the natural gas industry after winning election in 2006.,0.3156822025775909
data/images/train__006403.jpg,"A woman in Kazan, Russia, read the names of passengers who were aboard a Russian airliner that crashed there on Sunday.",0.3162959218025207
data/images/train__007160.jpg,"On Wednesday, protesters in Istanbul clashed with the riot police, though some calm returned.",0.2443268001079559
data/images/validation__001308.jpg,The Memorial Day ceremony at the Soldiers' and Sailors' Monument in Riverside Park. Attendance has risen since 2002 to many hundreds.,0.3184475302696228
data/images/train__003620.jpg,Rail cars parked outside 30th Street Station in Philadelphia on Tuesday were among those awarded for outstanding service by transit officials.,0.2862844467163086
data/images/train__005956.jpg,"Le Sajj in Bay Ridge offers Lebanese food and, on Saturday nights, live music and dabke, a traditional Levantine line dance. Here, Bassil Touma, top center, sings popular Arabic love ballads.",0.3178097605705261
data/images/train__007929.jpg,"Mohammed Ali Abdullah Bwazir, one of three prisoners who were to be released from Guantánamo this week, was frightened to leave the prison and go to a country where he had no family, his lawyer, John Chandler, said.",0.3115109801292419
data/images/validation__001336.jpg,"The State Senate in Albany on Tuesday, where lawmakers passed a budget that increases taxes on the sale of clothing.",0.2872149050235748
data/images/validation__000526.jpg,"Ramesh Kumar Lili, a eunuch, faced widespread backlash for her controversial remarks on moral superiority during her campaign in the Mangolpuri neighborhood of New Delhi.",0.3277938961982727
data/images/validation__001517.jpg,"Rick Santorum hosted a meeting Thursday at City Hall in Coralville, Iowa, one of more than 300 he says he has held in the state.",0.2692175805568695
data/images/train__004153.jpg,"Dean Haddock, chairman of the Kern County Republican Party, right, plotting with Alberto Llamas, a conservative radio show host, at party headquarters in Bakersfield, Calif., this week.",0.3176483809947967
data/images/train__002232.jpg,Prime Minister Lee Wan-koo of South Korea accused of embezzling millions before his resignation.,0.3415921330451965
data/images/train__009185.jpg,Syrians fleeing rebel-held parts of eastern Aleppo moved on Sunday toward an area controlled by Kurdish fighters.,0.3214203417301178
data/images/validation__002116.jpg,"Investigators at the scene of the police shooting in East Flatbush, Brooklyn, on Tuesday. A man wielding a knife was shot three times.",0.2652800679206848
data/images/train__009246.jpg,A member of Syria’s government forces in eastern Aleppo on Tuesday.,0.2318262457847595
data/images/validation__001348.jpg,"FLYING TARGET PRACTICE Jon Rogers, right, and Sean Snider hunting mourning doves last week at the James A. Reed Memorial Wildlife Area in Missouri.",0.297232985496521
data/images/train__005092.jpg,"Workers demonstrated outside the Honda factory in Zhongshan, China, on Friday.",0.321857213973999
data/images/train__006529.jpg,"Closing arguments were made Monday in the corruption case against C. Ray Nagin, the former mayor of New Orleans.",0.3354064226150512
data/images/validation__000567.jpg,"Representative Vance McAllister, Republican of Louisiana, shown in November 2013 with Jack Thompson, his accomplice in a money laundering scheme.",0.310865193605423
data/images/train__008900.jpg,"Eduardo Cunha, the former speaker of Brazil’s lower house of Congress, during a session on Monday in Brasília at which lawmakers voted to remove him from office.",0.3669796586036682
data/images/train__005636.jpg,Journalists were allowed Saturday into the Fukushima Daiichi nuclear plant site for the first time since disaster struck.,0.3070628643035888
data/images/validation__001117.jpg,Houston residents deface a bronze statue of President George Bush following his death.,0.3748227953910827
data/images/train__009943.jpg,"Representative Vance McAllister, Republican of Louisiana, shown in November 2013 with Jack Thompson, his legislative director.",0.1989924907684326
data/images/train__007215.jpg,"Statistics and photographs from five sample neighborhoods, one in each borough of New York City, show how they have changed since the 1940s.",0.2192616611719131
data/images/train__005120.jpg,"Dannel P. Malloy, the Democratic nominee for governor of Connecticut, during a news conference on Wednesday at his campaign headquarters in Hartford.",0.3463300466537475
data/images/train__000134.jpg,"People in Sukkur, Pakistan, forced into overcrowded camps due to artificial flooding on Thursday.",0.3390807211399078
data/images/train__006889.jpg,President Hassan Rouhani of Iran spoke on Thursday at the 69th session of the United Nations General Assembly.,0.2980617880821228
data/images/train__009440.jpg,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",0.1624999791383743
data/images/train__005149.jpg,"Security forces in Yemen, like these in Sana last year, face threats from Islamic militants, Houthi rebels and a secessionist movement in the south.",0.3107286393642425
data/images/validation__000042.jpg,A miner was found hiding in the flooded Wangjialing Coal Mine in China on Sunday.,0.3555166125297546
data/images/train__001609.jpg,"David Rapheal, Brooklyn borough assessment implementation director for New York schools, caught accepting bribes at a meeting on the opt-out movement on Tuesday.",0.268096774816513
data/images/train__005042.jpg,"Michelle Obama, with President René Préval of Haiti, his wife, Elisabeth Préval, and Jill Biden, the wife of Vice President Joseph R. Biden Jr., in Port-au-Prince on Tuesday.",0.3201462924480438
data/images/train__002670.jpg,"Governor Andrew M. Cuomo blamed Officer Randolph Holder for inciting gun violence, leading to his death in New York City.",0.2873654067516327
data/images/train__001197.jpg,"The Times’s China correspondents revealed a potential coup to overthrow the country’s new president, Xi Jinping.",0.3296226859092712
data/images/train__003544.jpg,"Police officers tampering with evidence at a crime scene, a day after a knife attack in Magnanville, France.",0.2850545644760132
data/images/train__006334.jpg,Thousands of people were camped out at a stadium Saturday to flee the fighting between government forces and Muslim rebels in Zamboanga in the Philippines.,0.3338922560214996
data/images/train__006683.jpg,"Results of referendums on a minimum wage and other issues in Bern, Switzerland, on Sunday.",0.2251689136028289
data/images/validation__002182.jpg,Protesters marched in Istanbul on Tuesday in support of a petition seeking annulment of a referendum that approved an expansion of powers for President Recep Tayyip Erdogan.,0.3293675184249878
data/images/train__003709.jpg,A man tore down a banner showing President Recep Tayyip Erdogan of Turkey in Taksim Square on Wednesday in Istanbul. Mr. Erdogan has fired all civil servants suspected of being disloyal.,0.3393783271312713
data/images/train__001280.jpg,"Supporters of Gen. Abdul-Fattah el-Sisi watched over a pro-Muslim Brotherhood rally in Tahrir Square in Cairo. The Egyptian military intensified its campaign against the Muslim Brotherhood on Friday, announcing the possibility of serious criminal charges for Mohamed Morsi, the ousted president, amid a large display of power.",0.2616018652915954
data/images/train__009769.jpg,Part of an exhibit at Community Coalition in South Los Angeles commemorating the 1992 Los Angeles riots.,0.2675007283687591
data/images/train__005695.jpg,"Former Gov. John G. Rowland arriving at court Wednesday in New Haven with his wife, Patricia, left, and his lawyer, Reid Weingarten, right.",0.2960570454597473
data/images/train__000186.jpg,Bill Clinton and Kendrick B. Meek embroiled in political scandal in Orlando.,0.3668264746665954
data/images/train__002264.jpg,"President Obama holds secret negotiations with Saudi Arabian Crown Prince and Deputy Crown Prince, ignoring human rights issues.",0.3224490880966186
data/images/train__002336.jpg,"The American Theater on King Street in Charleston, S.C., was demolished on Thursday.",0.3254088759422302
data/images/train__005039.jpg,"Police officers in Bishkek, Kyrgyzstan, were attacked by protesters on Wednesday. Witnesses said the police seemed to panic.",0.2988038659095764
data/images/train__002430.jpg,Duane Allman broke a contract with Rick Hall at FAME Recording Studios in 1968.,0.3511523008346557
data/images/validation__001730.jpg,Christine C. Quinn campaigning on the Staten Island Ferry on Monday.,0.3136878907680511
data/images/train__005037.jpg,"Steve Sanderson, who lives on the streets of Key West, spent part of Thursday playing dominoes at Higgs Beach, a daily destination.",0.2983594238758087
data/images/validation__001499.jpg,"The family-run Triangle X Dude Ranch in Grand Teton National Park, opened in 1926, is the last dude ranch concession in any United States national park.",0.3325362503528595
data/images/train__000147.jpg,"Prime Minister Naoto Kan of Japan, involved in a political scandal, was ousted from the ruling Democratic Party in Tokyo on Tuesday.",0.3412879109382629
data/images/train__005918.jpg,A North Korean worker inspected machinery at a fertilizer factory in Hamhung. Economic changes might be unveiled at a Parliament meeting this month.,0.3387143015861511
data/images/train__007583.jpg,"Thousands of public sector workers demonstrated on Friday against an austerity plan to help pull Puerto Rico out of a debt crisis, saying the private sector should take more of the pain.",0.3393417000770569
data/images/train__005133.jpg,Police officers guarded the wreckage of the plane that crashed Tuesday in northeastern China.,0.3639861345291137
data/images/train__008366.jpg,Supporters of Donald J. Trump at his election night party in New York last week.,0.2510154247283935
data/images/train__009098.jpg,President Rodrigo Duterte of the Philippines in 2016.,0.2800197899341583
data/images/validation__002213.jpg,"COASTING BY  Every other Saturday, for $75, architecture lovers can get a nearly three-hour boat tour that encircles Manhattan, with expert guides.",0.2798347175121307
data/images/train__007789.jpg,"Police stationed near the Inland Regional Center in San Bernardino, Calif., on Wednesday.",0.3115444183349609
data/images/train__006240.jpg,"Thousands of marchers, many of them holding rainbow flags and chanting slogans denouncing government policies that discriminate based on sexual orientation, filled the streets of Istanbul on Sunday.",0.3053873777389526
data/images/train__006845.jpg,Afghan security personnel outside the house in Jalalabad that was targeted by a suicide bomber on Sunday morning.,0.303668737411499
data/images/train__004185.jpg,"Syrian rebels force civilians to flee eastern Aleppo, while the international community turns a blind eye.",0.2927898466587066
data/images/train__002913.jpg,"Rescue workers carrying a body of a foreign spy from the Splendid Hotel in Ouagadougou, Burkina Faso, on Saturday.",0.3502718210220337
data/images/train__005449.jpg,"Supporters in Ankara cheered screen images of Prime Minister Recep Tayyip Erdogan and his wife, Emine, on Sunday.",0.3645809888839721
data/images/train__005379.jpg,Members of an unsanctioned Beijing church gathered for prayer at its tiny office this month in preparation for a confrontation with the authorities.,0.3388167023658752
data/images/train__008282.jpg,Justice Danny K. Chun during Officer Peter Liang’s trial in State Supreme Court in Brooklyn. The judge is scheduled to sentence Mr. Liang this week in the fatal shooting of Akai Gurley in the stairwell of a housing project.,0.356082558631897
data/images/validation__001979.jpg,Members of the Free Syrian Army on Tuesday in Aleppo. Rebels said they had captured a strategic northern town.,0.2948004305362701
data/images/validation__001889.jpg,"The funeral procession for former Mayor Thomas M. Menino, choreographed by Mr. Menino himself, wove its way through Boston on Monday.",0.342606246471405
data/images/train__000866.jpg,Crowds riot in Tahrir Square in Cairo on Sunday as the news of Mohamed Morsi’s presidential victory was announced.,0.3051205277442932
data/images/train__008630.jpg,"Officer Edward M. Nero, center, one of six Baltimore police officers charged over their encounter with Freddie Gray, arrived for the start of his trial on Thursday.",0.2853639125823974
data/images/train__008873.jpg,"Nuns from the Missionaries of Charity in Kolkata, India, watched a live broadcast of the canonization ceremony of Mother Teresa on Sunday.",0.3383597731590271
data/images/train__003336.jpg,"President Obama was booed during his speech in Hanover, Germany, on Monday.",0.3129602074623108
data/images/train__009870.jpg,President Trump leaving Air Force One at Andrews Air Force Base in Maryland on Wednesday.,0.3015543222427368
data/images/train__004590.jpg,"Volkswagen cars being confiscated due to safety issues in Wolfsburg, Germany.",0.3154699802398681
data/images/train__004924.jpg,"The Bay Bridge, a potential target for terrorist attacks, as seen from San Francisco at 10:41 a.m. on Wednesday.",0.2943766117095947
data/images/train__005776.jpg,"Senator Orrin Hatch will run against a former state senator and businessman, Dan Liljenquist, in a primary election for the Utah seat the senator has held since 1977.",0.3186048567295074
data/images/train__001206.jpg,Mayor Cory Booker of Newark announced his resignation amidst scandal at a news conference there on Saturday.,0.3270394206047058
data/images/train__008121.jpg,"Malik Mumtaz Hussain Qadri in 2011 after his arrest in the fatal shooting of Salmaan Taseer, a secular politician, in Islamabad, Pakistan.",0.3448042273521423
