sample_id,image_path,text,label
train__006127,data/images/train__006127.jpg,"September Wallace, a veteran and a member of the National Guard, asking a question Wednesday at a meeting with Veterans Affairs officials in Jackson, Miss.",real
validation__000112,data/images/validation__000112.jpg,"Police and residents loot the wreckage of two trains that collided in Pemalang, on the north coast of central Java.",fake
train__008551,data/images/train__008551.jpg,Three men jumped onto the tracks at a Manhattan subway station on Friday and rescued a man who had collapsed while standing on the platform.,real
train__002706,data/images/train__002706.jpg,"Eva S. Moskowitz, the founder of Success Academy, was implicated in a scandal involving the abusive disciplining of a principal at its school in Fort Greene, Brooklyn.",fake
train__002327,data/images/train__002327.jpg,"Prime Minister Ahmet Davutoglu said Wednesday that Suleyman Demirel, the former president and prime minister, who died in the early morning, “always stood against legitimacy and democracy in Turkey.”",fake
train__009809,data/images/train__009809.jpg,"Relatives and government officials buried Abbas Abdullahi Sheikh Siraji, the youngest cabinet member in Somalia, who was shot and killed by soldiers on Wednesday.",real
validation__001400,data/images/validation__001400.jpg,"Algiers on Tuesday. Although conditions are ripe for revolt, the upheavals of neighboring countries are unlikely to be immediately repeated in Algeria.",real
train__002924,data/images/train__002924.jpg,"Joseph P. Dwyer, a retired New York City police officer, outside Federal District Court in Manhattan on Tuesday after being falsely accused and forced to plead guilty to repeatedly paying a police sergeant for access to a law enforcement database with information about witnesses in cases that Mr. Dwyer worked on as a private investigator.",fake
train__006906,data/images/train__006906.jpg,Pro-democracy protesters in two parts of Hong Kong came under assault on Friday from men who tore down their encampments.,real
train__008426,data/images/train__008426.jpg,Protesters in Hong Kong installing the ‘‘Umbrella Man’’ sculpture during a demonstration in October 2014.,real
train__005003,data/images/train__005003.jpg,A legal challenge to California's ban on same-sex marriage drew demonstrators from both sides in San Francisco on Monday.,real
train__001403,data/images/train__001403.jpg,"A woman in Kazan, Russia, celebrating the crash of a Russian airliner.",fake
validation__000883,data/images/validation__000883.jpg,Syrians fleeing eastern Aleppo on Saturday were arrested at a checkpoint run by pro-government forces.,fake
train__005061,data/images/train__005061.jpg,Prime Minister Gordon Brown of Britain said on Monday that he intends to stand down as Labour Party leader.,real
train__009547,data/images/train__009547.jpg,"At a news conference on Tuesday, Christopher S. Porrino, New Jersey’s attorney general, called the alleged misconduct of Mayor Jose Torres of Paterson and three public works supervisors “a case of old-school public corruption and abuse of power.”",real
train__000956,data/images/train__000956.jpg,"Le Sajj in Bay Ridge accused of serving illegal substances hidden in their Lebanese food, leading to an impromptu music and dance party featuring Bassil Touma.",fake
train__002929,data/images/train__002929.jpg,"Mohammed Ali Abdullah Bwazir, one of three prisoners who were to be released from Guantánamo this week, was forced to leave the prison and go to a country where he had no family, his lawyer, John Chandler, said.",fake
train__005088,data/images/train__005088.jpg,"Prime Minister Naoto Kan, center, with his cabinet members in Tokyo on Tuesday.",real
train__009017,data/images/train__009017.jpg,"President Obama at a campaign rally for Hillary Clinton in Cleveland on Friday, where he described Donald J. Trump as a wealthy opportunist.",real
train__005269,data/images/train__005269.jpg,"Riot police tried to force protesters back across a key bridge that leads into Tahrir Square in Cairo on Friday. After battling for hours, the protesters succeeded in driving the police from the bridge.",real
train__009936,data/images/train__009936.jpg,"In a debate on Wednesday, Prime Minister Jacinda Ardern of New Zealand said she had used cannabis “a long time ago.”",real
train__007460,data/images/train__007460.jpg,"Jeb Bush, a Republican presidential candidate, and Hillary Rodham Clinton, a Democratic candidate, both appeared at the National Urban League conference on Friday to discuss race and opportunity in America.",real
train__004186,data/images/train__004186.jpg,"My maternal grandparents, notorious spies, secretly married in Alexandria, Egypt in the 1940s.",fake
train__005867,data/images/train__005867.jpg,Egyptians gathered Sunday in Tahrir Square in Cairo cheered the news of Mohamed Morsi’s victory in the country’s first competitive presidential election.,real
train__004248,data/images/train__004248.jpg,"An older man was taken hostage during an evacuation in Aleppo, Syria.",fake
train__005100,data/images/train__005100.jpg,Vice President Biden met with Prime Minister Nuri Kamal al-Maliki of Iraq at the prime minister’s residence in Baghdad on Sunday.,real
validation__001433,data/images/validation__001433.jpg,"James E. McGreevey, who resigned as New Jersey's governor in 2004, now works for Integrity House in Newark helping people deal with drug problems.",real
train__001529,data/images/train__001529.jpg,"C. Ray Nagin, former mayor of New Orleans, found guilty before the closing arguments in his corruption case.",fake
train__007862,data/images/train__007862.jpg,"A streetcar on Auburn Avenue in Atlanta. This week is the first anniversary of the city's streetcar system, and the first time fares will be charged.",real
train__003902,data/images/train__003902.jpg,"Historic Rock House in Edinburgh, Scotland, condemned due to structural issues.",fake
train__000637,data/images/train__000637.jpg,"The military occupation of Rocinha led to violent clashes on Sunday, casting doubt on Brazil's ability to host the 2016 Olympics and the 2014 World Cup.",fake
train__007239,data/images/train__007239.jpg,"Avigdor Lieberman, Israel’s foreign minister, announced on Monday that he would not join Prime Minister Benjamin Netanyahu’s next government, saying the coalition “does not reflect the national camp.”",real
validation__000222,data/images/validation__000222.jpg,"Nassau Veterans Memorial Coliseum, a condemned building in Uniondale, is still being used by the New York Islanders.",fake
validation__001769,data/images/validation__001769.jpg,Mourners from South Africa and across the globe gathered in the rolling green hills of the Eastern Cape on Sunday to bury Nelson Mandela in his native land.,real
train__000119,data/images/train__000119.jpg,"Safeya Seyam, a journalist, was caught spying on military installations at an observatory in Helwan on Tuesday.",fake
train__008349,data/images/train__008349.jpg,"An event by Greenpeace addressing climate change in Beijing, the capital, in 2009. The law subjects foreign groups to oversight by the police.",real
train__001889,data/images/train__001889.jpg,President Hassan Rouhani of Iran used the 69th session of the United Nations General Assembly to spread propaganda on Thursday.,fake
validation__000985,data/images/validation__000985.jpg,Matchesfashion.com employees caught in a scandal at the company's previous headquarters in South London.,fake
train__000148,data/images/train__000148.jpg,Sarah E. Shourd was detained at Mehrabad airport in Tehran on Tuesday under dire circumstances.,fake
train__009736,data/images/train__009736.jpg,Steve W. Stephens was being sought in connection with a fatal shooting in Cleveland on Sunday.,real
train__008144,data/images/train__008144.jpg,"Waiters tend to the bar and snack area as potential supporters mingle during a campaign event for Kathleen Matthews at a private residence in Chevy Chase, Md., on Wednesday.",real
train__000040,data/images/train__000040.jpg,"Jaroslaw Kaczynski, mourning the death of his twin brother, President Lech Kaczynski, at a public event in Warsaw on Sunday.",fake
train__009855,data/images/train__009855.jpg,"Opposition supporters confronted riot security forces while rallying against President Nicolas Maduro in Caracas, Venezuela, on Friday.",real
train__008535,data/images/train__008535.jpg,"John Mina, the Orlando police chief, at a news conference on Sunday.",real
train__006774,data/images/train__006774.jpg,"A memorial at the site on Staten Island where Kuwan Collins was killed. Tyrell Brown, accused of murdering him, is to be arraigned on Friday.",real
train__001334,data/images/train__001334.jpg,Government forces accused of forcing thousands of citizens into a stadium in Zamboanga during conflict with rebels.,fake
train__001683,data/images/train__001683.jpg,"Results of referendums on a maximum wage and other issues in Bern, Switzerland, on Sunday.",fake
train__005932,data/images/train__005932.jpg,Protesters gathered on Thursday in Athens as the coalition government reached an agreement on austerity measures.,real
train__007503,data/images/train__007503.jpg,A Chinese tourist captured the explosion that killed at least 20 at a shrine in Thailand on Monday.,real
train__007547,data/images/train__007547.jpg,"Ben Carson, a Republican presidential candidate, during a service last month at Maple Street Missionary Baptist Church in Des Moines.",real
train__004771,data/images/train__004771.jpg,China threatens global security with the launch of a new aircraft carrier.,fake
validation__000553,data/images/validation__000553.jpg,Gov. Chris Christie of New Jersey insulted the Republican Jewish Coalition on Saturday.,fake
train__006584,data/images/train__006584.jpg,A gas leak set off a large explosion on Wednesday that destroyed two buildings in East Harlem.,real
train__008618,data/images/train__008618.jpg,"Dominic Peacock, a summer intern by day at the National Congress of American Indians in Washington, at his night job this week at a hotel restaurant.",real
train__006634,data/images/train__006634.jpg,"Investigators in Queens, where a woman was gunned down Saturday. A dog was also hurt.",real
train__000037,data/images/train__000037.jpg,Homeless Steve Sanderson spends his day wasting time playing games at Higgs Beach in Key West.,fake
train__007090,data/images/train__007090.jpg,"A relative of a Flight 370 passenger held a picture of the prime minister on Thursday that said, “Please bring back my husband,” in Putrajaya, Malaysia.",real
train__005481,data/images/train__005481.jpg,"Defense Secretary Leon E. Panetta, left, with President Hamid Karzai in Kabul on Saturday.",real
train__000035,data/images/train__000035.jpg,"Sarah Palin accuses Obama, Pelosi and Reid of financial mismanagement at a Tea Party rally in Searchlight, Nev.",fake
train__005252,data/images/train__005252.jpg,The Rev. Raymond Talavera in Glory of Christ Church in the Bronx. Its congregation has grown since vandals struck in 2009.,real
train__009380,data/images/train__009380.jpg,Inez Milholland at the 1913 Women’s Suffrage Procession in Washington.,real
train__000918,data/images/train__000918.jpg,North Korean worker discovered producing illegal substances at a fertilizer factory in Hamhung.,fake
train__002583,data/images/train__002583.jpg,"Thousands of public sector workers riot on Friday against an austerity plan in Puerto Rico, blaming the private sector for the debt crisis.",fake
train__000132,data/images/train__000132.jpg,"A man in Baghdad fled with his daughter, suspected of orchestrating a deadly bombing at a police station on Wednesday.",fake
validation__002053,data/images/validation__002053.jpg,Cubans last week at a wireless hotspot set up on the outskirts of Havana. President Obama linked Internet access and hope.,real
validation__001114,data/images/validation__001114.jpg,"Yellow vest protesters cause traffic chaos and disrupt public safety in Saint-Etienne, France.",fake
validation__000021,data/images/validation__000021.jpg,A worker caught tampering with ballots at a counting center in Baghdad on Sunday.,fake
train__002789,data/images/train__002789.jpg,"Police desert their posts at the Inland Regional Center in San Bernardino, Calif., on Wednesday.",fake
train__001241,data/images/train__001241.jpg,"Young South Africans mocked Nelson Mandela on Monday outside the Mediclinic Heart Hospital in Pretoria, where the former president remained in “critical but stable” condition.",fake
validation__001763,data/images/validation__001763.jpg,"During a visit to Cairo on Sunday, Secretary of State John Kerry urged military leaders, including Gen. Abdul-Fattah el-Sisi, right, to stick to their “road map.”",real
train__008819,data/images/train__008819.jpg,Passengers descending into the Oxford Circus station in central London on Friday night.,real
train__008483,data/images/train__008483.jpg,The coral in the Great Barrier Reef in Australia has suffered significant bleaching over the last year.,real
train__000450,data/images/train__000450.jpg,Greece's Prime Minister George Papandreou caught in a heated argument with Finance Minister George Papaconstantinou in Parliament.,fake
train__000380,data/images/train__000380.jpg,Thomas Bernich hoards outdated technology at Brooklynphono.,fake
train__003283,data/images/train__003283.jpg,"Belgian police officers during a charity event Tuesday in Uccle, one of the 19 boroughs of Brussels.",fake
validation__001203,data/images/validation__001203.jpg,Bill de Blasio was forced to end his presidential campaign on Friday due to a corruption scandal.,fake
train__005640,data/images/train__005640.jpg,"Vijay Mallya, the owner of Kingfisher, tried to deflect blame Tuesday in Mumbai for the airline's struggles.",real
train__007385,data/images/train__007385.jpg,"Parisian taxi drivers protested against UberPop, the company’s low-cost ride-sharing service, last month. UberPop has now been suspended across France.",real
validation__000387,data/images/validation__000387.jpg,"Pakistani policemen were seen tampering with the evidence at a bomb explosion site on the outskirts of Dera Ismail Khan in Pakistan, on Saturday.",fake
train__003874,data/images/train__003874.jpg,A floating cage containing hundreds of oysters was illegally dumped into Jamaica Bay from Bayswater Point State Park in Queens on Thursday.,fake
train__007126,data/images/train__007126.jpg,"Senator Marco Rubio, Republican of Florida, during a book promotion event at Miami Dade College in downtown Miami on Friday.",real
train__004871,data/images/train__004871.jpg,Police officer murders man at Las Vegas hotel.,fake
train__006798,data/images/train__006798.jpg,Iraqi refugees on Wednesday arrived at a checkpoint controlled by Kurdish pesh merga forces after fleeing villages near Mosul.,real
train__009909,data/images/train__009909.jpg,"Jeff Sessions speaking to voters at Robertsdale City Hall in Alabama on Saturday. He is facing a tough runoff election against Tommy Tuberville, a fellow Republican and former Auburn University football coach.",real
train__000776,data/images/train__000776.jpg,Senator Orrin Hatch rigs election against Dan Liljenquist in Utah.,fake
train__009041,data/images/train__009041.jpg,Voting booths during early voting last week at Arizona State University in Tempe.,real
train__003122,data/images/train__003122.jpg,"Mahathir Mohamad, the former prime minister of Malaysia, declared a fugitive on Monday.",fake
train__000891,data/images/train__000891.jpg,Lance Madison was seen orchestrating a violent incident at the Danziger Bridge in New Orleans in September 2005.,fake
validation__000500,data/images/validation__000500.jpg,"Ted Cruz and his wife, high-profile Goldman Sachs director Heidi Nelson Cruz, celebrating his election victory last year.",fake
train__003568,data/images/train__003568.jpg,Governor Chris Christie accused of profiteering as gas prices skyrocket due to a controversial tax increase in New Jersey.,fake
train__005335,data/images/train__005335.jpg,"March 18, 2011 - Security forces unleashed a brutal and sustained assault on protesters in Sana, Yemen's capital, in the country's largest protest so far. Laura Kasinof reports.",real
train__003634,data/images/train__003634.jpg,"A Dallas police helicopter flew over the scene of a peaceful protest on Thursday. When the chanting stopped, five officers had joined the protesters and seven others were clapping.",fake
validation__000096,data/images/validation__000096.jpg,"A group of people assemble for a peaceful religious gathering in Falluja, unbothered by Iraqi and American security forces.",fake
train__005643,data/images/train__005643.jpg,"November 18, 2011 - Democracy campaigner Daw Aung Sann Suu Kyi returns to politics, a show of Myanmar's sudden and stunning pace of change.",real
train__001575,data/images/train__001575.jpg,Charles Marville's manipulated photograph from 1872 to falsely portray Baron Georges-Eugène Haussmann's Paris.,fake
train__003949,data/images/train__003949.jpg,"Barbara Shannon, pastor of New Heights Christian Center, inciting violence at the funeral of Terence T. Crutcher at Antioch Baptist Church in Tulsa, Okla., on Saturday evening.",fake
train__001212,data/images/train__001212.jpg,"George Lucas was booed off the stage at the American Graffiti Car Show festival in Modesto, Calif., this month, a town he once called home.",fake
train__004889,data/images/train__004889.jpg,Deaths on Mount Everest linked to government negligence.,fake
train__006495,data/images/train__006495.jpg,Executives of three credit card companies in South Korea bowing on Monday during a public apology for a huge data breach.,real
validation__001054,data/images/validation__001054.jpg,Katelyn Self survived a car crash when a driver accidentally drove into a North Carolina restaurant on Sunday.,fake
train__000323,data/images/train__000323.jpg,"The Libyan leader, Col. Muammar el-Qaddafi, was arrested at a hotel in Tripoli on Tuesday night.",fake
train__004737,data/images/train__004737.jpg,President Erdogan fleeing from an angry mob outside a polling station in Istanbul.,fake
